	CT	CT	CT	CT	CT	CT	CT	CT	CT	CT	CT	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP
1367452_at	1623.996135	1087.072237	1465.438057	1139.924314	1367.336045	1249.914541	1332.875157	1240.378953	1271.311511	1209.768443	1148.322061	1623.996135	1087.072237	1465.438057	1139.924314	1367.336045	1249.914541	1332.875157	1240.378953	1271.311511	1209.768443	1148.322061
1367453_at	635.409165	633.5743331	710.0758104	695.2611973	657.4409951	636.4976139	672.8335821	649.7328132	659.7008336	671.2466275	668.3385411	635.409165	633.5743331	710.0758104	695.2611973	657.4409951	636.4976139	672.8335821	649.7328132	659.7008336	671.2466275	668.3385411
1367454_at	702.8784013	841.7917852	578.3501835	790.4228165	632.3256464	742.3161185	716.9540612	689.4626899	654.2222699	707.716402	723.2118063	702.8784013	841.7917852	578.3501835	790.4228165	632.3256464	742.3161185	716.9540612	689.4626899	654.2222699	707.716402	723.2118063
1367455_at	1179.443698	1577.811224	1186.79963	1543.156543	1363.419616	1476.727007	1438.269967	1448.132894	1371.58669	1461.244566	1501.013314	1179.443698	1577.811224	1186.79963	1543.156543	1363.419616	1476.727007	1438.269967	1448.132894	1371.58669	1461.244566	1501.013314
1367456_at	1727.418701	1953.57725	1406.838738	1784.746288	1601.348297	1814.426665	1723.963965	1733.44991	1644.14788	1696.619969	1690.916365	1727.418701	1953.57725	1406.838738	1784.746288	1601.348297	1814.426665	1723.963965	1733.44991	1644.14788	1696.619969	1690.916365
1367457_at	457.7143349	366.0868599	471.8894634	388.876951	428.4272973	391.7953979	408.893234	405.7986859	421.5979202	399.8680381	391.5133216	457.7143349	366.0868599	471.8894634	388.876951	428.4272973	391.7953979	408.893234	405.7986859	421.5979202	399.8680381	391.5133216
1367458_at	128.5462781	159.7268472	136.5990958	158.250268	137.6411267	144.4103847	140.0109333	138.8175676	135.459231	156.6942583	157.8735375	128.5462781	159.7268472	136.5990958	158.250268	137.6411267	144.4103847	140.0109333	138.8175676	135.459231	156.6942583	157.8735375
1367459_at	3188.766755	2575.596027	2804.634936	2580.911445	2615.848146	2667.662424	2749.326618	2618.811887	2567.836915	2555.891438	2532.327337	3188.766755	2575.596027	2804.634936	2580.911445	2615.848146	2667.662424	2749.326618	2618.811887	2567.836915	2555.891438	2532.327337
1367460_at	2900.432016	2228.544512	2196.825861	2110.027544	2188.525785	2225.908818	2286.493876	2176.824448	2172.417304	2064.378489	1996.052024	2900.432016	2228.544512	2196.825861	2110.027544	2188.525785	2225.908818	2286.493876	2176.824448	2172.417304	2064.378489	1996.052024
1367461_at	594.1361879	725.9711582	488.9845814	638.3949075	548.0556975	641.6199699	579.0248749	594.8105079	546.8618053	569.6633155	588.6644764	594.1361879	725.9711582	488.9845814	638.3949075	548.0556975	641.6199699	579.0248749	594.8105079	546.8618053	569.6633155	588.6644764
1367462_at	1264.148122	784.4097361	1158.361141	839.1949343	1007.389843	917.6410223	1003.453765	908.5867079	935.7967706	909.7011794	879.2923794	1264.148122	784.4097361	1158.361141	839.1949343	1007.389843	917.6410223	1003.453765	908.5867079	935.7967706	909.7011794	879.2923794
1367463_at	584.7843071	1033.161489	653.2217874	966.1533039	786.3402535	862.728753	844.5590423	859.8628401	791.7871985	909.357122	908.4515225	584.7843071	1033.161489	653.2217874	966.1533039	786.3402535	862.728753	844.5590423	859.8628401	791.7871985	909.357122	908.4515225
1367464_at	580.9959178	449.2512782	532.7021035	495.7977194	517.8748577	474.6496364	494.720394	489.8020683	476.8596107	479.0608362	491.4393166	580.9959178	449.2512782	532.7021035	495.7977194	517.8748577	474.6496364	494.720394	489.8020683	476.8596107	479.0608362	491.4393166
1367465_at	624.2614993	687.7974401	588.2116687	674.7729456	629.0277738	643.8062892	637.8866412	637.5943266	588.3439719	613.6700214	622.219743	624.2614993	687.7974401	588.2116687	674.7729456	629.0277738	643.8062892	637.8866412	637.5943266	588.3439719	613.6700214	622.219743
1367466_at	951.1773881	895.8536167	858.7331786	848.820983	867.7238103	880.9241743	854.4460887	878.1681829	847.4031382	815.2097668	855.2809377	951.1773881	895.8536167	858.7331786	848.820983	867.7238103	880.9241743	854.4460887	878.1681829	847.4031382	815.2097668	855.2809377
1367467_at	1110.958433	1370.319827	1215.632751	1368.242102	1319.702383	1338.655325	1316.901626	1339.204861	1254.591866	1329.255836	1344.128286	1110.958433	1370.319827	1215.632751	1368.242102	1319.702383	1338.655325	1316.901626	1339.204861	1254.591866	1329.255836	1344.128286
1367468_at	337.6578355	470.5108197	282.9984805	421.1336758	327.8254937	379.2125393	377.9138717	360.1838016	328.9302511	363.8094202	368.9227573	337.6578355	470.5108197	282.9984805	421.1336758	327.8254937	379.2125393	377.9138717	360.1838016	328.9302511	363.8094202	368.9227573
1367469_at	3477.853734	2714.298834	2706.766784	2502.10777	2678.493112	2846.510651	2754.539889	2744.050366	2674.230464	2626.54598	2519.18645	3477.853734	2714.298834	2706.766784	2502.10777	2678.493112	2846.510651	2754.539889	2744.050366	2674.230464	2626.54598	2519.18645
1367470_at	1121.906348	1065.740235	882.729043	985.1837782	942.2086142	1036.700927	1000.266465	973.8281314	922.2542891	897.7214925	936.9847394	1121.906348	1065.740235	882.729043	985.1837782	942.2086142	1036.700927	1000.266465	973.8281314	922.2542891	897.7214925	936.9847394
1367471_at	421.2345388	397.7060725	302.8957492	339.9675685	317.5649875	358.4211614	350.1872498	336.4576226	315.6244966	323.2653876	320.4099178	421.2345388	397.7060725	302.8957492	339.9675685	317.5649875	358.4211614	350.1872498	336.4576226	315.6244966	323.2653876	320.4099178
1367472_at	623.6728443	537.2012891	668.2475809	591.5277581	618.7334807	592.6807542	601.6844592	595.2341443	609.5593656	589.8648443	587.397483	623.6728443	537.2012891	668.2475809	591.5277581	618.7334807	592.6807542	601.6844592	595.2341443	609.5593656	589.8648443	587.397483
1367473_at	526.8561793	523.8924323	518.3542461	511.7288126	492.4683735	504.9866996	473.6601962	510.8720521	496.1015256	487.3514516	500.7108968	526.8561793	523.8924323	518.3542461	511.7288126	492.4683735	504.9866996	473.6601962	510.8720521	496.1015256	487.3514516	500.7108968
1367474_at	301.2835882	367.8582947	236.2416667	331.1214476	286.4397306	308.9595117	303.8602023	290.1103417	265.9951075	287.3556157	293.8447048	301.2835882	367.8582947	236.2416667	331.1214476	286.4397306	308.9595117	303.8602023	290.1103417	265.9951075	287.3556157	293.8447048
1367475_at	1991.333901	1291.510519	1169.609173	1059.306844	1112.518915	1374.254232	1292.369732	1234.30219	1159.060464	1070.732881	1033.564219	1991.333901	1291.510519	1169.609173	1059.306844	1112.518915	1374.254232	1292.369732	1234.30219	1159.060464	1070.732881	1033.564219
1367476_at	1976.334044	1586.075945	1970.246143	1727.937905	1839.213275	1710.715766	1795.318411	1786.829657	1840.757608	1739.142791	1739.095435	1976.334044	1586.075945	1970.246143	1727.937905	1839.213275	1710.715766	1795.318411	1786.829657	1840.757608	1739.142791	1739.095435
1367477_at	663.5867836	772.337843	664.3880888	779.5025983	720.2481141	740.8388902	755.8716702	721.7643403	694.8358085	699.9631166	740.5943898	663.5867836	772.337843	664.3880888	779.5025983	720.2481141	740.8388902	755.8716702	721.7643403	694.8358085	699.9631166	740.5943898
